País,Proyecto,Tipo de Proyecto,Energía Generada (MW),Impactos Ambientales,Medidas de Mitigación,Medidas de Compensación,Medidas de Reparación,Año Ingreso Evaluación,Año Aprobación Proyecto
🇧🇷 Brasil,Proyecto C Brasil,Mini hidroeléctrica,409.6,"Afectación a fauna, Emisión de gases","Pantallas acústicas, Reforestación de áreas intervenidas","Compensación de huella de carbono, Conservación de áreas protegidas","Restauración de hábitats, Reparación de caminos rurales",2011,2011
🇧🇷 Brasil,Proyecto D Brasil,Solar,220.3,"Ruido ambiental, Afectación a fauna","Pantallas acústicas, Control de emisiones","Compensación de huella de carbono, Reubicación de especies","Remediación de suelos, Restauración de hábitats",2022,2023
🇧🇷 Brasil,Proyecto A Brasil,Mini hidroeléctrica,364.1,"Consumo hídrico, Cambio en uso de suelo, Emisión de gases, Ruido ambiental","Control de emisiones, Monitoreo de fauna","Reubicación de especies, Mejoramiento de infraestructura local","Reparación de caminos rurales, Remediación de suelos",2012,2013
🇧🇷 Brasil,Proyecto A Brasil,Mini hidroeléctrica,364.1,"Consumo hídrico, Cambio en uso de suelo, Emisión de gases, Ruido ambiental","Control de emisiones, Monitoreo de fauna","Reubicación de especies, Mejoramiento de infraestructura local","Reparación de caminos rurales, Remediación de suelos",2012,2013
🇧🇷 Brasil,Proyecto C Brasil,Mini hidroeléctrica,409.6,"Afectación a fauna, Emisión de gases","Pantallas acústicas, Reforestación de áreas intervenidas","Compensación de huella de carbono, Conservación de áreas protegidas","Restauración de hábitats, Reparación de caminos rurales",2011,2011
🇧🇷 Brasil,Proyecto B Brasil,Eólico,96.2,"Cambio en uso de suelo, Ruido ambiental, Alteración del paisaje, Consumo hídrico","Control de emisiones, Monitoreo de fauna","Mejoramiento de infraestructura local, Proyectos comunitarios","Remediación de suelos, Restauración de hábitats",2011,2013
🇨🇴 Colombia,Proyecto C Colombia,Solar,197.4,"Consumo hídrico, Afectación a fauna","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Reubicación de especies","Reposición de vegetación nativa, Saneamiento de cuerpos de agua",2010,2011
🇨🇴 Colombia,Proyecto D Colombia,Hidrógeno verde,245.1,"Consumo hídrico, Generación de residuos","Monitoreo de fauna, Control de emisiones","Proyectos comunitarios, Reubicación de especies","Reparación de caminos rurales, Saneamiento de cuerpos de agua",2021,2022
🇨🇴 Colombia,Proyecto A Colombia,Hidrógeno verde,164.1,"Alteración del paisaje, Generación de residuos","Monitoreo de fauna, Reforestación de áreas intervenidas","Proyectos comunitarios, Conservación de áreas protegidas","Reposición de vegetación nativa, Saneamiento de cuerpos de agua",2020,2020
🇨🇴 Colombia,Proyecto C Colombia,Solar,197.4,"Consumo hídrico, Afectación a fauna","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Reubicación de especies","Reposición de vegetación nativa, Saneamiento de cuerpos de agua",2010,2011
🇨🇴 Colombia,Proyecto C Colombia,Solar,197.4,"Consumo hídrico, Afectación a fauna","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Reubicación de especies","Reposición de vegetación nativa, Saneamiento de cuerpos de agua",2010,2011
🇨🇴 Colombia,Proyecto D Colombia,Hidrógeno verde,245.1,"Consumo hídrico, Generación de residuos","Monitoreo de fauna, Control de emisiones","Proyectos comunitarios, Reubicación de especies","Reparación de caminos rurales, Saneamiento de cuerpos de agua",2021,2022
🇨🇴 Colombia,Proyecto A Colombia,Hidrógeno verde,164.1,"Alteración del paisaje, Generación de residuos","Monitoreo de fauna, Reforestación de áreas intervenidas","Proyectos comunitarios, Conservación de áreas protegidas","Reposición de vegetación nativa, Saneamiento de cuerpos de agua",2020,2020
🇨🇴 Colombia,Proyecto A Colombia,Hidrógeno verde,164.1,"Alteración del paisaje, Generación de residuos","Monitoreo de fauna, Reforestación de áreas intervenidas","Proyectos comunitarios, Conservación de áreas protegidas","Reposición de vegetación nativa, Saneamiento de cuerpos de agua",2020,2020
🇨🇴 Colombia,Proyecto C Colombia,Solar,197.4,"Consumo hídrico, Afectación a fauna","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Reubicación de especies","Reposición de vegetación nativa, Saneamiento de cuerpos de agua",2010,2011
🇨🇴 Colombia,Proyecto B Colombia,Eólico,69.0,"Alteración del paisaje, Cambio en uso de suelo, Generación de residuos, Emisión de gases","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Compensación de huella de carbono, Mejoramiento de infraestructura local","Remediación de suelos, Reposición de vegetación nativa",2023,2023
🇨🇷 Costa Rica,Proyecto D Costa Rica,Eólico,143.1,"Alteración del paisaje, Generación de residuos, Ruido ambiental, Afectación a fauna","Monitoreo de fauna, Pantallas acústicas","Conservación de áreas protegidas, Mejoramiento de infraestructura local","Restauración de hábitats, Reparación de caminos rurales",2020,2020
🇨🇷 Costa Rica,Proyecto E Costa Rica,Hidrógeno verde,457.8,"Afectación a fauna, Ruido ambiental","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Reubicación de especies","Saneamiento de cuerpos de agua, Reposición de vegetación nativa",2019,2020
🇨🇷 Costa Rica,Proyecto C Costa Rica,Mini hidroeléctrica,173.8,"Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Proyectos comunitarios","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2010,2011
🇨🇷 Costa Rica,Proyecto E Costa Rica,Hidrógeno verde,457.8,"Afectación a fauna, Ruido ambiental","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Reubicación de especies","Saneamiento de cuerpos de agua, Reposición de vegetación nativa",2019,2020
🇨🇷 Costa Rica,Proyecto E Costa Rica,Hidrógeno verde,457.8,"Afectación a fauna, Ruido ambiental","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Reubicación de especies","Saneamiento de cuerpos de agua, Reposición de vegetación nativa",2019,2020
🇨🇷 Costa Rica,Proyecto B Costa Rica,Hidrógeno verde,181.9,"Ruido ambiental, Alteración del paisaje, Cambio en uso de suelo, Consumo hídrico","Tecnologías limpias en procesos, Pantallas acústicas","Mejoramiento de infraestructura local, Proyectos comunitarios","Remediación de suelos, Saneamiento de cuerpos de agua",2016,2018
🇨🇷 Costa Rica,Proyecto C Costa Rica,Mini hidroeléctrica,173.8,"Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Proyectos comunitarios","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2010,2011
🇨🇷 Costa Rica,Proyecto C Costa Rica,Mini hidroeléctrica,173.8,"Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Proyectos comunitarios","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2010,2011
🇨🇷 Costa Rica,Proyecto C Costa Rica,Mini hidroeléctrica,173.8,"Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Proyectos comunitarios","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2010,2011
🇨🇷 Costa Rica,Proyecto E Costa Rica,Hidrógeno verde,457.8,"Afectación a fauna, Ruido ambiental","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Reubicación de especies","Saneamiento de cuerpos de agua, Reposición de vegetación nativa",2019,2020
🇪🇨 Ecuador,Proyecto C Ecuador,Eólico,263.3,"Emisión de gases, Consumo hídrico, Alteración del paisaje, Cambio en uso de suelo","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Compensación de huella de carbono","Remediación de suelos, Reposición de vegetación nativa",2010,2011
🇪🇨 Ecuador,Proyecto A Ecuador,Solar,103.2,"Cambio en uso de suelo, Alteración del paisaje","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Reubicación de especies","Saneamiento de cuerpos de agua, Restauración de hábitats",2011,2013
🇪🇨 Ecuador,Proyecto C Ecuador,Eólico,263.3,"Emisión de gases, Consumo hídrico, Alteración del paisaje, Cambio en uso de suelo","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Compensación de huella de carbono","Remediación de suelos, Reposición de vegetación nativa",2010,2011
🇪🇨 Ecuador,Proyecto C Ecuador,Eólico,263.3,"Emisión de gases, Consumo hídrico, Alteración del paisaje, Cambio en uso de suelo","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Compensación de huella de carbono","Remediación de suelos, Reposición de vegetación nativa",2010,2011
🇪🇨 Ecuador,Proyecto A Ecuador,Solar,103.2,"Cambio en uso de suelo, Alteración del paisaje","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Reubicación de especies","Saneamiento de cuerpos de agua, Restauración de hábitats",2011,2013
🇪🇨 Ecuador,Proyecto A Ecuador,Solar,103.2,"Cambio en uso de suelo, Alteración del paisaje","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Reubicación de especies","Saneamiento de cuerpos de agua, Restauración de hábitats",2011,2013
🇪🇨 Ecuador,Proyecto C Ecuador,Eólico,263.3,"Emisión de gases, Consumo hídrico, Alteración del paisaje, Cambio en uso de suelo","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Compensación de huella de carbono","Remediación de suelos, Reposición de vegetación nativa",2010,2011
🇪🇨 Ecuador,Proyecto B Ecuador,Biomasa,430.6,"Consumo hídrico, Generación de residuos","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Proyectos comunitarios, Reubicación de especies","Reparación de caminos rurales, Reposición de vegetación nativa",2016,2016
🇪🇨 Ecuador,Proyecto C Ecuador,Eólico,263.3,"Emisión de gases, Consumo hídrico, Alteración del paisaje, Cambio en uso de suelo","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Compensación de huella de carbono","Remediación de suelos, Reposición de vegetación nativa",2010,2011
🇪🇨 Ecuador,Proyecto C Ecuador,Eólico,263.3,"Emisión de gases, Consumo hídrico, Alteración del paisaje, Cambio en uso de suelo","Tecnologías limpias en procesos, Reforestación de áreas intervenidas","Mejoramiento de infraestructura local, Compensación de huella de carbono","Remediación de suelos, Reposición de vegetación nativa",2010,2011
🇲🇽 México,Proyecto G México,Hidrógeno verde,366.8,"Emisión de gases, Consumo hídrico, Ruido ambiental","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Mejoramiento de infraestructura local","Reposición de vegetación nativa, Remediación de suelos",2018,2020
🇲🇽 México,Proyecto D México,Eólico,412.7,"Alteración del paisaje, Emisión de gases, Ruido ambiental","Monitoreo de fauna, Pantallas acústicas","Mejoramiento de infraestructura local, Reubicación de especies","Saneamiento de cuerpos de agua, Remediación de suelos",2010,2011
🇲🇽 México,Proyecto E México,Eólico,213.1,"Generación de residuos, Afectación a fauna, Emisión de gases, Alteración del paisaje","Monitoreo de fauna, Control de emisiones","Mejoramiento de infraestructura local, Proyectos comunitarios","Remediación de suelos, Restauración de hábitats",2019,2020
🇲🇽 México,Proyecto G México,Hidrógeno verde,366.8,"Emisión de gases, Consumo hídrico, Ruido ambiental","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Mejoramiento de infraestructura local","Reposición de vegetación nativa, Remediación de suelos",2018,2020
🇲🇽 México,Proyecto C México,Hidrógeno verde,44.7,"Cambio en uso de suelo, Alteración del paisaje, Ruido ambiental","Monitoreo de fauna, Reforestación de áreas intervenidas","Conservación de áreas protegidas, Reubicación de especies","Remediación de suelos, Restauración de hábitats",2012,2012
🇲🇽 México,Proyecto E México,Eólico,213.1,"Generación de residuos, Afectación a fauna, Emisión de gases, Alteración del paisaje","Monitoreo de fauna, Control de emisiones","Mejoramiento de infraestructura local, Proyectos comunitarios","Remediación de suelos, Restauración de hábitats",2019,2020
🇲🇽 México,Proyecto E México,Eólico,213.1,"Generación de residuos, Afectación a fauna, Emisión de gases, Alteración del paisaje","Monitoreo de fauna, Control de emisiones","Mejoramiento de infraestructura local, Proyectos comunitarios","Remediación de suelos, Restauración de hábitats",2019,2020
🇲🇽 México,Proyecto G México,Hidrógeno verde,366.8,"Emisión de gases, Consumo hídrico, Ruido ambiental","Reforestación de áreas intervenidas, Pantallas acústicas","Proyectos comunitarios, Mejoramiento de infraestructura local","Reposición de vegetación nativa, Remediación de suelos",2018,2020
